ID_Reviewer,phone,commentaires,title,city,address,sentiment,totalScore
1,,prestations lourdes,CIH Bank,Tanger,"Q577+M3P, Tangier, Maroc",4,2.4
2,,"C'est moi en Keshi qui me harcèle à chaque fois que je vais dans cette agence
Parce que c'est le plus proche de mon lieu de résidence. J'en ai parlé à mon mari, et nous en avons informé la police, car cet usager ne fait pas la différence entre une femme mariée ou une femme célibataire. L'important est qu'il laisse passer sa colère. en dehors.",CIH Bank,Tanger,"Q577+M3P, Tangier, Maroc",5,2.4
3,,"Une banque pleine de bisir et de hazak
Ce chien moderne doit être expulsé",CIH Bank,Tanger,"Q577+M3P, Tangier, Maroc",1,2.4
4,,"Je vais vous montrer un autre service dans un marché ou dans une salle de bain
Ne pas rejoindre, ne pas traiter comme une forêt",CIH Bank,Tanger,"Q577+M3P, Tangier, Maroc",1,2.4
5,,"Kayn a lavé le kidar Tema 3onsori

khes modir iljri 3lih 9ebel ma ghadi tew9a3 chi mosiba tema",CIH Bank,Tanger,"Q577+M3P, Tangier, Maroc",3,2.4
6,+212 5393-19310,Sous-standard,CIH Bank,Tanger,"Residence Golden Beach، Av. Moulay Rachid، Rue du Val Fleuri, Tangier 90060, Maroc",3,2.1
7,+212 5393-19310,000000000000000,CIH Bank,Tanger,"Residence Golden Beach، Av. Moulay Rachid، Rue du Val Fleuri, Tangier 90060, Maroc",3,2.1
8,+212 5393-19310,pas mal,CIH Bank,Tanger,"Residence Golden Beach، Av. Moulay Rachid، Rue du Val Fleuri, Tangier 90060, Maroc",3,2.1
9,+212 5393-19310,Absence de responsabilité,CIH Bank,Tanger,"Residence Golden Beach، Av. Moulay Rachid، Rue du Val Fleuri, Tangier 90060, Maroc",1,2.1
10,+212 5393-19310,Sce nuuuuuuuuuuuuuuuuuuuuuuuuul,CIH Bank,Tanger,"Residence Golden Beach، Av. Moulay Rachid، Rue du Val Fleuri, Tangier 90060, Maroc",3,2.1
11,+212 5393-19310,Mauvais choix pour tout service dans cette loco banque avec assistance lazy... Toute la journée pour un transfert d'argent,CIH Bank,Tanger,"Residence Golden Beach، Av. Moulay Rachid، Rue du Val Fleuri, Tangier 90060, Maroc",1,2.1
12,+212 5393-19310,"C'est un jeune homme qui est au Pérou. Quelqu'un m'ouvre la porte pour ouvrir le compte à moins qu'il ne soit un témoin oculaire du service. C'est le plus retraité. Je suis allé rendre le code, et il m'a dit d'appeler le 4747, et j'ai déjà vu la réponse à l'unité des filles sans connexion. Le code n'est pas une application, je veux changer le numéro, mais je n'aime pas ça, pour une situation plus difficile, je suis à la retraite, je suis désolé, je vais vous donner la pauvre fille. Avec des gens en état de s'occuper du compte du chef du directeur de la banque, et chaque fois que je m'y rends, je vois comment traiter les gens qui ont un moyen",CIH Bank,Tanger,"Residence Golden Beach، Av. Moulay Rachid، Rue du Val Fleuri, Tangier 90060, Maroc",2,2.1
13,+212 5393-19310,"C'est moi en Keshi qui me harcèle à chaque fois que je vais dans cette agence
Parce que c'est le lieu de résidence le plus proche selon moi, j'en ai parlé à mon mari, et nous avons prévenu la police, et nous en ferons un exemple pour les autres, car cet usager ne fait pas la différence entre une femme mariée et une femme célibataire.",CIH Bank,Tanger,"Residence Golden Beach، Av. Moulay Rachid، Rue du Val Fleuri, Tangier 90060, Maroc",5,2.1
